A.L.E: Arcade Learning Environment (version 0.10.1+6a7e0ae)
[Powered by Stella]
Épisode 1 terminé | Score : 940.00 | Total steps : 199
Épisode 2 terminé | Score : 510.00 | Total steps : 273
Épisode 3 terminé | Score : 940.00 | Total steps : 381
Épisode 4 terminé | Score : 1140.00 | Total steps : 516
Épisode 5 terminé | Score : 260.00 | Total steps : 570
Épisode 6 terminé | Score : 490.00 | Total steps : 642
Épisode 7 terminé | Score : 1140.00 | Total steps : 777
Épisode 8 terminé | Score : 340.00 | Total steps : 832
Épisode 9 terminé | Score : 340.00 | Total steps : 919
Épisode 10 terminé | Score : 1140.00 | Total steps : 1061
Épisode 11 terminé | Score : 340.00 | Total steps : 1116
Épisode 12 terminé | Score : 380.00 | Total steps : 1215
Épisode 13 terminé | Score : 1140.00 | Total steps : 1351
Épisode 14 terminé | Score : 340.00 | Total steps : 1406
Épisode 15 terminé | Score : 200.00 | Total steps : 1464
Épisode 16 terminé | Score : 1140.00 | Total steps : 1605
Épisode 17 terminé | Score : 340.00 | Total steps : 1660
Épisode 18 terminé | Score : 490.00 | Total steps : 1755
Épisode 19 terminé | Score : 1140.00 | Total steps : 1896
Épisode 20 terminé | Score : 260.00 | Total steps : 1950
Épisode 21 terminé | Score : 500.00 | Total steps : 2013
Épisode 22 terminé | Score : 1140.00 | Total steps : 2149
Épisode 23 terminé | Score : 260.00 | Total steps : 2203
Épisode 24 terminé | Score : 420.00 | Total steps : 2274
Épisode 25 terminé | Score : 940.00 | Total steps : 2471
Épisode 26 terminé | Score : 510.00 | Total steps : 2545
Épisode 27 terminé | Score : 880.00 | Total steps : 2616
Épisode 28 terminé | Score : 940.00 | Total steps : 2817
Épisode 29 terminé | Score : 510.00 | Total steps : 2891
Épisode 30 terminé | Score : 1000.00 | Total steps : 3054
Épisode 31 terminé | Score : 1140.00 | Total steps : 3194
Épisode 32 terminé | Score : 260.00 | Total steps : 3248
Épisode 33 terminé | Score : 480.00 | Total steps : 3345
Épisode 34 terminé | Score : 850.00 | Total steps : 3457
Épisode 35 terminé | Score : 440.00 | Total steps : 3518
Épisode 36 terminé | Score : 190.00 | Total steps : 3574
Épisode 37 terminé | Score : 1140.00 | Total steps : 3710
Épisode 38 terminé | Score : 340.00 | Total steps : 3765
Épisode 39 terminé | Score : 320.00 | Total steps : 3856
Épisode 40 terminé | Score : 1140.00 | Total steps : 3994
Épisode 41 terminé | Score : 260.00 | Total steps : 4048
Épisode 42 terminé | Score : 460.00 | Total steps : 4164
Épisode 43 terminé | Score : 1140.00 | Total steps : 4302
Épisode 44 terminé | Score : 260.00 | Total steps : 4356
Épisode 45 terminé | Score : 420.00 | Total steps : 4427
Épisode 46 terminé | Score : 1140.00 | Total steps : 4566
Épisode 47 terminé | Score : 340.00 | Total steps : 4623
Épisode 48 terminé | Score : 240.00 | Total steps : 4689
Épisode 49 terminé | Score : 1140.00 | Total steps : 4824
Épisode 50 terminé | Score : 510.00 | Total steps : 4898
Épisode 51 terminé | Score : 360.00 | Total steps : 4974
Épisode 52 terminé | Score : 940.00 | Total steps : 5172
Épisode 53 terminé | Score : 510.00 | Total steps : 5246
Épisode 54 terminé | Score : 170.00 | Total steps : 5289
Épisode 55 terminé | Score : 1140.00 | Total steps : 5426
Épisode 56 terminé | Score : 340.00 | Total steps : 5481
Épisode 57 terminé | Score : 340.00 | Total steps : 5565
Épisode 58 terminé | Score : 940.00 | Total steps : 5762
Épisode 59 terminé | Score : 510.00 | Total steps : 5836
Épisode 60 terminé | Score : 1020.00 | Total steps : 5926
Épisode 61 terminé | Score : 1140.00 | Total steps : 6063
Épisode 62 terminé | Score : 340.00 | Total steps : 6120
Épisode 63 terminé | Score : 240.00 | Total steps : 6185
Épisode 64 terminé | Score : 1140.00 | Total steps : 6327
Épisode 65 terminé | Score : 260.00 | Total steps : 6381
Épisode 66 terminé | Score : 410.00 | Total steps : 6466
Épisode 67 terminé | Score : 1140.00 | Total steps : 6607
Épisode 68 terminé | Score : 340.00 | Total steps : 6664
Épisode 69 terminé | Score : 240.00 | Total steps : 6726
Épisode 70 terminé | Score : 1140.00 | Total steps : 6865
Épisode 71 terminé | Score : 260.00 | Total steps : 6919
Épisode 72 terminé | Score : 440.00 | Total steps : 7030
Épisode 73 terminé | Score : 1140.00 | Total steps : 7170
Épisode 74 terminé | Score : 340.00 | Total steps : 7225
Épisode 75 terminé | Score : 630.00 | Total steps : 7342
Épisode 76 terminé | Score : 940.00 | Total steps : 7540
Épisode 77 terminé | Score : 510.00 | Total steps : 7614
Épisode 78 terminé | Score : 1000.00 | Total steps : 7754
Épisode 79 terminé | Score : 1140.00 | Total steps : 7889
Épisode 80 terminé | Score : 340.00 | Total steps : 7944
